item_code,item_name,category_code,uom_code,min_stock,max_stock,remark
1709000002,"BALL LINER, KENKO-SIZE 0,5-BLUE",STATIONERIES,EACH,160,2000,
1709000004,"BALL LINER, KENKO-SIZE 0,5-BLACK",STATIONERIES,EACH,160,2000,
1709000006,"BALL LINER, KENKO-SIZE 0,5-RED",STATIONERIES,EACH,40,500,
1709000008,"BALL POINT, V1-SIZE 0.7-BLUE-SNOWMAN",STATIONERIES,EACH,200,2400,
1709000010,"BALL POINT, V1-SIZE 0.7-BLACK-SNOWMAN",STATIONERIES,EACH,250,3000,
1709000015,"PENCIL, HB-STAEDLER-100 HB",STATIONERIES,EACH,50,600,
1709000019,"PENCIL, LEAD-PILOT-2B",STATIONERIES,EACH,1,10,
1709000020,"PENCIL, LEAD-0,5-B",STATIONERIES,EACH,1,10,
1709000022,"PENCIL, LEAD-PILOT-2B",STATIONERIES,EACH,1,10,
1709000029,"ERASER, WHITEBOARD-WE 1205-JOYKO",STATIONERIES,EACH,15,180,
1709000031,"PERMANENT MARKER, G 12-SNOWMAN-BLUE",STATIONERIES,EACH,50,600,
1709000034,"PERMANENT MARKER, G 12-SNOWMAN-BLACK",STATIONERIES,EACH,100,1200,
1709000035,"PERMANENT MARKER, G 12-SNOWMAN-RED",STATIONERIES,EACH,40,480,
1709000036,"PAINT MARKER, WP 12-SNOWMAN-WHITE",STATIONERIES,EACH,12,144,
1709000037,"WHITEBOARD MARKER, BG-SNOWMAN-BLUE",STATIONERIES,EACH,80,960,
1709000039,"WHITEBOARD MARKER, BG-SNOWMAN-BLACK",STATIONERIES,EACH,120,1440,
1709000040,"WHITEBOARD MARKER, BG-SNOWMAN-RED",STATIONERIES,EACH,15,180,
1709000043,"WHITEBOARD MARKER, BG-SNOWMAN-GREEN",STATIONERIES,EACH,20,240,
1709000044,"STABILLO , HL-100-KENKO HIGHLIGHTER-GREEN",STATIONERIES,EACH,15,180,
1709000046,"STABILLO , HL-100-KENKO HIGHLIGHTER-YELLOW",STATIONERIES,EACH,30,360,
1709000048,"STABILLO , HL-100-KENKO HIGHLIGHTER-RED",STATIONERIES,EACH,15,180,
1709000050,"STABILLO , HL-100-KENKO HIGHLIGHTER-ORANGE",STATIONERIES,EACH,10,120,
1709000052,"STABILLO , HL-100-KENKO HIGHLIGHTER-BLUE",STATIONERIES,EACH,10,120,
1709000053,"CHALK WHITE, CROWN CAMEL-WHITE",STATIONERIES,EACH,400,4800,
1709000054,"CHALK COLOUR, CROWN CAMEL-COLOUR",STATIONERIES,EACH,1,10,
1709000056,"WRITING BOOK, FOLIO-STANDARD-80 SHEET",STATIONERIES,EACH,36,432,
1709000058,"WRITING BOOK, WRITING-201-STANDARD-100SHEET",STATIONERIES,EACH,45,540,
1709000059,"PAPER, A4-210X297MM-70GSM-WHITE",STATIONERIES,REAM,200,2400,
1709000060,"PAPER, F4-210X330MM-70GSM-WHITE",STATIONERIES,REAM,10,120,
1709000061,"PAPER, B4-ANY MAKER-250 X 353 MM",STATIONERIES,REAM,10,120,
1709000062,"PAPER, A3-297X420MM-70GSM-WHITE",STATIONERIES,REAM,10,120,
1709000063,"PAPER, CONTINUOUS PAPER, CONT. FORM-9.1/2X11-1PLY-BLANK",STATIONERIES,BOX,3,36,
1709000064,"PAPER, CONTINUOUS PAPER, CONT. FORM-9.1/2X11-2PLY-WT/WT",STATIONERIES,BOX,3,36,
1709000065,"PAPER, CONTINUOUS PAPER, CONT. FORM-G3- 9.3/10X12-1PLY-WT",STATIONERIES,BOX,3,36,
1709000068,"PAPER, CONTINUOUS PAPER, CONT. FORM-8.9X11-2PRS-1PLY-WT",STATIONERIES,BOX,3,36,
1709000069,"PAPER, CONTINUOUS PAPER, CONT. FORM-9.1/2X11-3PRS-1PLY-WT",STATIONERIES,BOX,3,36,
1709000070,"PAPER, CONTINUOUS PAPER, CONT. FORM-9.1/2X11-NCR-4PLY-WPYG",STATIONERIES,BOX,3,36,
1709000071,"PAPER, CONTINUOUS PAPER, CONT. FORM-14.7/8X11-1PLY-BLANK",STATIONERIES,BOX,3,36,
1709000072,"PAPER, CONTINUOUS PAPER, CONT. FORM-9.1/2X11-2PLY-WT/GR",STATIONERIES,BOX,3,36,
1709000074,"PAPER CLIPS, NO.303-ATOM",STATIONERIES,EACH,80,960,
1709000076,"BINDER CLIPS, NO.107-KENKO",STATIONERIES,EACH,50,600,
1709000078,"BINDER CLIPS, NO.111-KENKO",STATIONERIES,EACH,40,480,
1709000080,"BINDER CLIPS, NO.155-KENKO",STATIONERIES,EACH,50,600,
1709000082,"BINDER CLIPS, NO.260-KENKO",STATIONERIES,EACH,20,240,
1709000083,"STAPLER, HD-10-MAX",STATIONERIES,EACH,15,180,
1709000085,"STAPLER, HD-50-MAX",STATIONERIES,EACH,5,60,
1709000088,"STAPLES, NO.10-1M-MAX-LEG LENGTH 5 MM",STATIONERIES,EACH,100,1200,
1709000089,"STAPLES, NO.3-1M-MAX-LEG LENGTH 6 MM",STATIONERIES,EACH,10,120,
1709000091,"STAPLES, HD-1210 FA-H/ML-MAX",STATIONERIES,EACH,1,10,
1709000092,"PAPER FASTENERS, HOMBO-PLASTIC 8,5 CM",STATIONERIES,EACH,1,10,
1709000093,"MAGNET, WHITEBOARD-DIAMETER 40MM-COMBO",STATIONERIES,EACH,10,120,
1709000094,"PROFESSIONAL EMBOSSER, 1610-DYMO-BLACK",STATIONERIES,EACH,1,10,
1709000095,"FILE FOLDER FOLIO, SIZE 35 X 23 CM-ANY MAKER",STATIONERIES,EACH,50,600,
1709000096,"BINDING PLASTIC, 11 MM-ANY MAKER",STATIONERIES,EACH,1,10,
1709000097,"BINDING PLASTIC, 12.7 MM-ANY MAKER",STATIONERIES,EACH,1,10,
1709000098,"FILE MICA SPRING FILE, 312-RED LEAF",STATIONERIES,EACH,1,10,
1709000099,"STAPLE REMOVER, SR45T-KANGAROO",STATIONERIES,EACH,1,10,
1709000100,"CUTTER, HANDY-A300-KENKO",STATIONERIES,EACH,30,360,
1709000102,"SPARE BLADE, A100-KENKO",STATIONERIES,EACH,20,240,
1709000104,"LETTER FILE,  A4-401-PAKAR",STATIONERIES,EACH,40,480,
1709000105,"LETTER FILE, FOLIO-401-PAKAR",STATIONERIES,EACH,30,360,
1709000108,"LETTER FILE, FOLIO-403-PAKAR",STATIONERIES,EACH,5,60,
1709000110,"FILE MARUZEN, LUCKY STAR",STATIONERIES,EACH,1,10,
1709000114,"FILE FOLDER, 5100-FORTE-BLUE",STATIONERIES,EACH,50,600,
1709000119,"CLIP FILE, 315-RED LEAF",STATIONERIES,EACH,1,10,
1709000120,"DOCUMENT KEEPER, PLASTIC",STATIONERIES,EACH,1,10,
1709000121,"FILE LUCKY FOLIO, IDM000027500-LUCKY",STATIONERIES,EACH,15,180,
1709000123,"KWITANSI, STANDARD-BUKU KWITANSI",STATIONERIES,EACH,1,10,
1709000128,"CLIPBOARD, 4205-FOLIO-BANTEX",STATIONERIES,EACH,45,540,
1709000132,"GLUE BIG, 113-POVINAL-VOLUME 500 ML",STATIONERIES,EACH,5,60,
1709000133,"GLUE SMALL, 112-POVINAL-VOLUME 75 ML",STATIONERIES,EACH,15,180,
1709000135,"CELLO TAPE 72 YARD, 1 INCHI-DAIMARU",STATIONERIES,EACH,50,600,
1709000141,"SELF ADHESIVE LABELS, NO.107-PANDA",STATIONERIES,EACH,5,60,
1709000145,"REINFORCEMENT RING 500-RENER",STATIONERIES,EACH,1,10,
1709000148,"CORRECTION PEN, KE 01-KENKO",STATIONERIES,EACH,65,800,
1709000154,"INK STAMP PAD, 50CC-ARTLINE-RED",STATIONERIES,EACH,5,60,
1709000155,"INK STAMP PAD, 50CC-ARTLINE-BLUE",STATIONERIES,EACH,5,60,
1709000156,"INK STAMP PAD, 50CC-ARTLINE-BLACK",STATIONERIES,EACH,5,60,
1709000158,"METAL INK, LION-LMN-1-BK",STATIONERIES,EACH,1,10,
